Frame,Label,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,4,0,0,0,0.0731355312455782,-0.0273303229062354,-0.0467659957546857,0.0731355312455782,-0.0273303229062354,-0.0467659957546857,0.0731355312455782,-0.0273303229062354,-0.0467659957546857,0.101083438796449,-0.0282937197879908,0.0139787504502581,0.0731355312455782,-0.0273303229062354,-0.0467659957546857,0.0609909808834136,-0.0612865659838698,-0.0586939149795572,-0.0153896480274543,-0.0343124313215185,-0.00607010322394692,0.0413650871361727,-0.0735089023817367,0.0294491631740708,0.284318794591751,0.0496782513096198,0.111405487037958,0.427842689332733,0.387881254278534,0.0240645413308551,0.0581350194288603,-0.0299151298790909,-0.0346197273565486,0.0838939323271904,-0.0175441638866603,-0.0190767751398867,0.141580231079733,0.0479567852337572,0.0470559398111031,0.310009162928013,-0.00762557191334621,0.0450192343592666,0.0652199869388587,-0.0768899446229597,-0.0302682632112877,0.0844865310214834,-0.0425728487085202,-0.0365814103230462,0.0501207596847186,-0.00346199047520255,-0.0495919084292317,0.0501207596847186,-0.00346199047520255,-0.0495919084292317,0.00597880791740633,-0.000667047948407121,-0.0427123837041382,0.0255330434888476,-0.000997164434104077,-0.0457994344180673,0.042793551303644,-0.0206997423488276,-0.0392808572256323,0.042793551303644,-0.0206997423488276,-0.0392808572256323
1,4,0,0,0,0.0666841658882275,-0.0172540210694939,-0.0354599405319267,0.0643503221161063,-0.0185441989177216,-0.0353540896037011,0.0601718077494967,-0.0193627362416643,-0.0348608259930086,0.100285225599799,-0.0182425534084387,0.0149856888921894,0.0447484670859011,-0.0191170630111126,-0.0327619564932345,0.0598576551941062,-0.0482641529480637,-0.0536376963894132,-0.00648495894722156,-0.0389682544788823,-0.0109404262741299,0.0381184133438349,-0.0357515291953631,0.072845436590962,0.177611406209505,0.132686465315919,0.216271044053007,0.299158704303485,0.522980742485729,0.0565802831582963,0.0480925538632045,-0.0226974244857878,-0.0322636298316676,0.0762591786666408,0.00364380097403545,-0.0196107918062357,0.135712182886236,0.0720723863253774,0.0494405597981177,0.322282356829001,0.00415631663231702,0.0427532837534347,0.0713237878883072,-0.069008553989945,-0.0204058177938467,0.0708989374649204,-0.0279591774955011,-0.025645852586267,0.0395216889365258,0.0120752994938988,-0.0358741158659081,0.0395216889365258,0.0120752994938988,-0.0358741158659081,0.00724234896909766,0.012850971242813,-0.0307475536447923,0.0125478117904964,0.0150788673978139,-0.0341445871824536,0.0334772792774804,-0.00812999780272512,-0.026189666970272,0.0334772792774804,-0.00812999780272512,-0.026189666970272
2,4,0,0,0,0.0602328005308769,-0.00717771923275236,-0.0241538853091677,0.0555651129866345,-0.00975807492920782,-0.0239421834527165,0.0472080842534152,-0.0113951495770932,-0.0229556562313316,0.0994870124031491,-0.00819138702888671,0.0159926273341208,0.016361402926224,-0.0109038031159897,-0.0187579172317834,0.0587243295047987,-0.0352417399122575,-0.0485814777992692,0.00241973013301112,-0.0436240776362461,-0.0158107493243129,0.034871739551497,0.00200584399101057,0.116241710007853,0.0709040178272604,0.215694679322219,0.321136601068057,0.170474719274237,0.658080230692924,0.0890960249857375,0.0380500882975488,-0.0154797190924847,-0.0299075323067865,0.0686244250060911,0.0248317658347312,-0.0201448084725846,0.12984413469274,0.0961879874169977,0.0518251797851322,0.33455555072999,0.0159382051779803,0.0404873331476028,0.0774275888377556,-0.0611271633569304,-0.0105433723764057,0.0573113439083573,-0.0133455062824819,-0.0147102948494879,0.028922618188333,0.0276125894630001,-0.0221563233025845,0.028922618188333,0.0276125894630001,-0.0221563233025845,0.00850589002078898,0.0263689904340331,-0.0187827235854464,-0.000437419907854744,0.0311548992297319,-0.0224897399468399,0.0241610072513168,0.00443974674337733,-0.0130984767149117,0.0241610072513168,0.00443974674337733,-0.0130984767149117
3,4,0,0,0,0.0522846995115757,-0.00297754149303078,-0.0179037625448185,0.0458482477789119,-0.00666747328915534,-0.0176316847737448,0.0343072453973972,-0.00865121229085684,-0.0162266203694173,0.100002226538084,-0.00367366810229136,0.0168365008613032,-0.00878144740163723,-0.00619229971890522,-0.0102682244087214,0.0568819442155438,-0.0283208049685799,-0.0439057000915603,0.0090457850266097,-0.0464159891867356,-0.0217702067497954,0.0352688940627978,0.0306127453004458,0.144816283375766,-0.0260350383704824,0.265141801044943,0.421255398690431,0.0533959835923445,0.705676879751285,0.162070502593375,0.0288943032004734,-0.0120258450854173,-0.0262154794288905,0.0612300871688465,0.0409578258342323,-0.0189006480119268,0.128026743912973,0.113819239029565,0.0484941434966094,0.342646284371432,0.0242799878253275,0.0386292399984133,0.0780046747273204,-0.0570753801051524,-0.00496060152832046,0.0465332795689571,-0.00562733390192869,-0.00751453087939931,0.0185664919327125,0.0373627621961787,-0.0143654932015644,0.0185664919327125,0.0373627621961787,-0.0143654932015644,0.00796713766436042,0.0346522534156818,-0.0113583843453264,-0.0103240435489216,0.0441111232524489,-0.0150034374651891,0.0158209855375417,0.013411587016704,-0.00454846182245267,0.0158209855375417,0.013411587016704,-0.00454846182245267
4,4,0,0,0,0.0423307502484117,-0.0126864157150788,-0.0215729272336413,0.0350643962737847,-0.0175981591811558,-0.0213599049327741,0.0216856369749482,-0.0190525146865152,-0.0195980723949206,0.102469234959857,-0.0121244563905649,0.0178424536108812,-0.0296353861227714,-0.00974463571507575,-0.0120916606797751,0.0537688806842016,-0.0332440005452275,-0.0407553306421874,0.0117675758354864,-0.0474152092673289,-0.0322038358859526,0.0444531847036443,0.0451843317011011,0.15461228337625,-0.112590609585961,0.260993353233359,0.552026169622226,-0.0376360953420304,0.613546983006522,0.343293288868908,0.0199963087707661,-0.0170637374360229,-0.0199495476297174,0.0536495054307962,0.0490976595282213,-0.0146961521844581,0.135863044949241,0.119773525176715,0.031586418864173,0.35120670488989,0.0230236275862415,0.0375183206230604,0.0685007321395463,-0.0615927961137418,-0.00721323552783173,0.0404485189213019,-0.0126535244010011,-0.00713833424027535,0.00776826044288936,0.0354477969623258,-0.0177445682877168,0.00776826044288936,0.0354477969623258,-0.0177445682877168,0.00371459675299601,0.0326812665662392,-0.0122189012065062,-0.0154115910159178,0.0525449214779862,-0.0151645878178898,0.00900901354104204,0.015392365612632,-0.00416923886479845,0.00900901354104204,0.015392365612632,-0.00416923886479845
5,4,0,0,0,0.0308800653232972,-0.0282714140341468,-0.0302980243808738,0.0233488886904067,-0.0342243674216176,-0.0301895325638162,0.00912691319256267,-0.0346774664605082,-0.0281456583201867,0.106249670713215,-0.0261086921317951,0.0186853414457103,-0.0472451110120898,-0.0167987282092846,-0.0194294433892178,0.0499467575529119,-0.0442686742140037,-0.0379854020752496,0.012210732457729,-0.0465505177410478,-0.0437265993974093,0.0572813036481295,0.050605446224818,0.149586583327756,-0.189377848616937,0.223283813138198,0.678050181161346,-0.11706292492905,0.433914247112924,0.564974810924637,0.0119849948096392,-0.0258654611728641,-0.0123476604775293,0.046309339516051,0.0521755883610157,-0.00871347922998269,0.147750003399238,0.119243461844812,0.0089630379561993,0.355584665148802,0.0183271614488396,0.0368152587043499,0.0534700744918887,-0.0699398195035677,-0.0137455440966988,0.0371732874908094,-0.0265752137325395,-0.010501931367842,-0.00278702655436146,0.0277457144925502,-0.0270506058361727,-0.00278702655436146,0.0277457144925502,-0.0270506058361727,-0.00234023756648827,0.0254755235072251,-0.0176199088869119,-0.0174005304256297,0.0578589118943225,-0.0194942829245533,0.00317329185693095,0.0137752399357842,-0.00833119127004548,0.00317329185693095,0.0137752399357842,-0.00833119127004548
6,4,0,0,0,0.017963246820019,-0.0315098769530055,-0.0345449214606393,0.0101760596079885,-0.037264324808227,-0.034410041040919,-0.00395507869021246,-0.036984946080491,-0.0322724500820136,0.110741860263986,-0.0288546434932021,0.0182266670396075,-0.0615005015625096,-0.0165700850139196,-0.0233995710082593,0.0463913711481467,-0.0502683467824475,-0.0325414531454795,0.0129735104009666,-0.0417443425900836,-0.0472725196533403,0.0619671557221709,0.0523801460901822,0.126788103136656,-0.248473881672194,0.178555520228078,0.68838447580883,-0.216603478021844,0.235946952884529,0.664205085877667,0.00763371118931014,-0.0280110427678642,-0.0057876333240981,0.0407299844202474,0.0539026718043741,-0.00272092674090575,0.150929173469777,0.121322547513897,-0.00150855929772093,0.337641263478932,0.0252245944791578,0.0359099627473415,0.0410489269768298,-0.0717272820184748,-0.0181700109695556,0.0338657910708963,-0.0307413085875304,-0.0121057953359681,-0.0108012753861432,0.0261034597442548,-0.0324817401346292,-0.0108012753861432,0.0261034597442548,-0.0324817401346292,-0.00626517326176432,0.0228587488936276,-0.0208688023595471,-0.0182936580711315,0.0611411406561924,-0.0217243432979769,-0.00236532741706308,0.0151417779272536,-0.0106866446853843,-0.00236532741706308,0.0151417779272536,-0.0106866446853843
7,4,0,0,0,0.00344042646875886,-0.0073713599294589,-0.0288181888685263,-0.0046074203719427,-0.0106990331692377,-0.0284120268613063,-0.0169144643230598,-0.0106481420290774,-0.0266110275456863,0.119510676936476,-0.0067919506287305,0.0148061804205058,-0.0687431917542684,-0.00147418403531244,-0.0197129249461487,0.0470505308826654,-0.0465342596475615,-0.0209194579347988,0.0159901272849375,-0.0321533727669981,-0.0358890787025354,0.0549333036117955,0.0513301356764834,0.0814500710417853,-0.28408938239571,0.137974165748179,0.517270860520409,-0.384394774297107,0.00933835807743442,0.572122134243319,0.0113105296552447,-0.0175180810167311,-0.001256286424141,0.0413870890575231,0.0569655876442926,0.00392810175303726,0.14444468500713,0.137637227701898,0.0138296610721119,0.289128914413937,0.0610812669170889,0.0319554569385626,0.0341145937828174,-0.0605223549326725,-0.0174562569275154,0.0317873234167659,-0.0134691255714306,-0.00882508613522874,-0.01294281976914,0.039374424066817,-0.0288765560456085,-0.01294281976914,0.039374424066817,-0.0288765560456085,-0.00540689493870649,0.0297973733142899,-0.0193421296702713,-0.0200005788646206,0.0643080978258652,-0.0186216180778959,-0.00764716852917453,0.0249841226895816,-0.00777431256391832,-0.00764716852917453,0.0249841226895816,-0.00777431256391832
8,4,0,0,0,-0.012548527460665,0.029113692494297,-0.0186132562089463,-0.0208482218509141,0.0294525093236041,-0.0178048935277543,-0.0303971180562967,0.0290061341763465,-0.0165288108459198,0.12899124740638,0.0265090266155644,0.0100841315604724,-0.0726315476071286,0.0209044526328685,-0.0126586237936368,0.0479764273437085,-0.0377751714123431,-0.00662344236128586,0.0193263654899034,-0.0186209193192294,-0.0165287944962048,0.0397571846309764,0.046633710604432,0.0183392588043089,-0.302013677143506,0.0903740584533201,0.230467528340352,-0.572299794078144,-0.235604795064457,0.357587935506273,0.0186473784619772,-0.000368977123756813,0.00223320047705923,0.0438050045137405,0.0586776580947751,0.0105870097815817,0.129252408165025,0.156561056890886,0.0413196650959982,0.218295203420159,0.10853183852274,0.0277987170914859,0.0297897707214038,-0.0427578669719513,-0.014634661189465,0.0296765907732147,0.0135586519212165,-0.00378464377504878,-0.0125433259866678,0.0587052161108595,-0.0213964687065884,-0.0125433259866678,0.0587052161108595,-0.0213964687065884,-0.00241871799144044,0.0413249661803687,-0.0156633427732251,-0.0206116878938995,0.0654432933410716,-0.0134192581245749,-0.0126319072311689,0.0378101311202268,-0.00305548145254413,-0.0126319072311689,0.0378101311202268,-0.00305548145254413
9,4,0,0,0,-0.029553408075011,0.0510766061889029,-0.0108822797692575,-0.0386120220542968,0.0544150813573729,-0.00970632492263872,-0.0469268156813284,0.0545385695159682,-0.00853113232365628,0.127887278166611,0.047108940534296,0.00790277304952608,-0.0840305466732955,0.0385967508972298,-0.00622202179418547,0.0383014286194698,-0.0269908786933232,0.00288897706609222,0.0197778276642783,-0.00159934337128252,-0.000983243257153866,0.0153850155475507,0.0413298149547438,-0.0511950983859056,-0.31169187119243,0.0288004640765793,-0.0856938990974891,-0.667626451188004,-0.398793998995395,0.0642784452376639,0.0193133922453272,0.0159090388262591,0.0052634727918826,0.0360771790421234,0.0546899092695923,0.0135477103415287,0.0954615076114561,0.152308197007115,0.0578547907944304,0.131743985227394,0.130514293642469,0.0313705791515897,0.0275787704197277,-0.0273431360575262,-0.0124088451466978,0.0209079176680493,0.0319450670157942,-0.000859461357571478,-0.0172996992157766,0.0693826067856529,-0.0157238578176988,-0.0172996992157766,0.0693826067856529,-0.0157238578176988,-0.00132839657001501,0.0523659603803225,-0.0110101925038331,-0.0164009667154499,0.0598853031697383,-0.00954853653160561,-0.0178777186806142,0.0437249418526581,-0.000566336639142538,-0.0178777186806142,0.0437249418526581,-0.000566336639142538
